# Bris star catalog source data.
#
# AUTOGENERATED by scripts/import_bsc.py from the Yale Bright Star
# Catalogue (BSC5) at https://cdsarc.cds.unistra.fr/ftp/V/50/.
# Do not hand-edit; rerun the importer to refresh.
#
# Format: tab-separated, one star per line, '#' starts a comment.
# Columns:
#   hr           Yale BSC number (primary key).
#   hip          Hipparcos number, 0 if not cross-referenced.
#   name         Conventional name, spaces replaced by '_'.
#   ra_deg       Right ascension in decimal degrees, J2000.0.
#   dec_deg      Declination in decimal degrees, J2000.0.
#   pm_ra_mas    Proper motion in RA, mas/yr (dα/dt × cos δ).
#   pm_dec_mas   Proper motion in declination, mas/yr.
#   parallax_mas Trigonometric parallax in milliarcseconds.
#   vmag         Apparent visual magnitude.
#   nav57        '*' if one of the 57 standard navigational stars.
#
# hr	hip	name	ra_deg	dec_deg	pm_ra_mas	pm_dec_mas	parallax_mas	vmag	nav57
74	0	8Iot_Cet	4.857083	-8.823889	-14.00	-36.00	13.00	3.56	
75	0	HR75	4.923333	40.729722	-26.00	-10.00	0.00	6.33	
76	0	HR76	5.021667	48.865278	5.00	-17.00	0.00	6.52	
77	0	Zet_Tuc	5.017917	-64.874722	1705.00	1164.00	134.00	4.23	
78	0	HR78	5.101667	30.935833	21.00	4.00	0.00	5.90	
79	0	HR79	5.189583	32.911389	-26.00	-14.00	0.00	5.79	
80	0	41____Psc	5.149583	8.190278	-2.00	8.00	0.00	5.37	
81	0	HR81	5.227083	10.976944	-46.00	-28.00	5.00	6.56	
82	0	27Rho_And	5.280417	37.968611	60.00	-40.00	17.00	5.18	
83	0	Pi__Tuc	5.162500	-69.625000	-7.00	0.00	11.00	5.51	
84	0	Iot_Scl	5.380000	-28.981667	40.00	-74.00	27.00	5.18	
85	0	HR85	5.442917	-20.057778	71.00	-5.00	0.00	5.12	
86	0	42____Psc	5.606250	13.482500	62.00	21.00	0.00	6.23	
87	0	HR87	5.369167	-77.426944	2.00	-10.00	0.00	5.97	
88	0	9____Cet	5.715833	-12.209444	394.00	61.00	49.00	6.39	
89	0	HR89	5.802500	-31.036111	29.00	-3.00	0.00	6.55	
90	0	HR90	6.008333	38.577222	-7.00	-23.00	0.00	7.39	
91	0	HR91	6.065000	52.020000	13.00	-4.00	4.00	5.57	
93	0	12____Cas	6.197917	61.831111	12.00	-1.00	15.00	5.40	
94	0	HR94	6.123750	-2.219167	-33.00	-44.00	0.00	6.07	
96	0	HR96	6.276667	53.046944	23.00	-2.00	0.00	5.74	
97	0	44____Psc	6.350833	1.939722	-13.00	-15.00	0.00	5.77	
98	0	Bet_Hyi	6.437917	-77.254167	2215.00	324.00	153.00	2.80	
99	0	Alp_Phe	6.570833	-42.306111	203.00	-396.00	35.00	2.39	*
100	0	Kap_Phe	6.550833	-43.680000	109.00	29.00	72.00	3.94	
101	0	10____Cet	6.655833	-0.049722	73.00	-1.00	0.00	6.19	
102	0	HR102	6.811250	-25.547222	36.00	-19.00	0.00	5.98	
103	0	47____Psc	7.012083	17.893056	117.00	21.00	16.00	5.06	
104	0	HR104	7.057083	44.394444	89.00	-16.00	13.00	5.17	
105	0	Eta_Scl	6.982083	-33.007222	-19.00	-52.00	-14.00	4.81	
106	0	48____Psc	7.052917	16.445000	19.00	-15.00	0.00	6.06	
107	0	HR107	7.083750	10.189722	46.00	-207.00	33.00	6.04	
108	0	HR108	7.087917	-20.335000	-116.00	-114.00	34.00	6.43	
109	0	HR109	7.110000	-39.915000	130.00	-36.00	15.00	5.43	
110	0	HR110	7.235833	36.900000	-11.00	3.00	0.00	6.26	
111	0	HR111	7.179583	-50.532778	150.00	-2.00	0.00	6.26	
112	0	HR112	7.729167	77.019444	337.00	-38.00	23.00	6.21	
113	0	HR113	7.582917	59.977222	17.00	-12.00	2.00	5.94	
114	0	28____And	7.530417	29.751667	41.00	-54.00	1.00	5.23	
115	0	HR115	7.466250	-14.864167	144.00	-32.00	0.00	6.14	
116	0	HR116	7.453750	-32.116667	-4.00	-54.00	0.00	6.57	
117	0	12____Cet	7.510000	-3.957222	11.00	-12.00	0.00	5.72	
118	0	HR118	7.594583	-23.787778	-24.00	13.00	18.00	5.19	
119	0	HR119	7.615833	-40.939444	-1.00	21.00	0.00	6.19	
120	0	HR120	7.608750	-48.215000	129.00	-88.00	0.00	5.69	
121	0	13____Cas	7.855417	66.519444	23.00	-6.00	0.00	6.18	
122	0	HR122	7.856667	33.581667	47.00	-19.00	0.00	5.87	
123	0	14Lam_Cas	7.943333	54.522222	45.00	-10.00	30.00	4.73	
124	0	HR124	7.921667	52.839444	-53.00	-19.00	8.00	5.60	
125	0	Lam1Phe	7.854167	-48.803611	143.00	17.00	27.00	4.77	
126	0	Bet1Tuc	7.886250	-62.958056	90.00	-54.00	30.00	4.37	
127	0	Bet2Tuc	7.890000	-62.965833	101.00	-56.00	30.00	4.54	
128	0	HR128	8.111667	43.494722	18.00	-10.00	0.00	6.70	
129	0	HR129	8.330417	70.981667	28.00	-4.00	0.00	6.42	
130	0	15Kap_Cas	8.250000	62.931667	3.00	-3.00	0.00	4.16	
131	0	52____Psc	8.147917	20.294444	135.00	-47.00	32.00	5.38	
132	0	51____Psc	8.099167	6.955556	35.00	2.00	0.00	5.67	
133	0	HR133	8.143750	27.580556	-17.00	-15.00	0.00	6.67	
134	0	HR134	8.204583	28.280278	-6.00	7.00	6.00	6.30	
